company,exact_title,normalised_title_category,azure_in_title,location_work_mode,posted_date,required_experience_range,required_skills,preferred_skills,platform_architecture_expectations,direct_url,date_accessed
Naukri Aggregate (Multiple Employers),"Data Engineer (Azure & Databricks)","Data Engineer - Azure / Databricks",no,"Bengaluru / Various","2026 (active listings)","4+ years","Azure Databricks, PySpark, Spark SQL, Delta Lake, Production-grade applications","","Azure Databricks, Delta Lake, PySpark, Spark SQL","https://www.naukri.com/job-listings-data-engineer-azure-databricks-cgi-bengaluru-10-to-12-years-230726012737","2026-08-14"
Crescendo Global,"Sr. Data Engineer - Databricks/Azure","Data Engineer - Azure / Databricks",no,"PAN India / Hybrid","2026 (active)","5+ years","Databricks, Azure, Data Engineering, ETL, Data Pipeline, Cloud Technologies","","Azure Databricks, Azure Data Factory, Azure Synapse, ADLS Gen2, Delta Lake","https://www.crescendo-global.com/job/sr-data-engineer-databricks-slash-azure-5-plus-years-pan-india-hybrid-672100","2026-08-14"
Hexaware Technologies,"Azure Data Engineer","Azure Data Engineer",yes,"Pune, Chennai, Bengaluru","2026 (active)","4-6 years","Azure Data Factory, Data Engineering, Azure Databricks","","Azure Data Factory, Azure Databricks, Azure Synapse, ADLS","https://www.naukri.com/azure-data-engineer-jobs-in-india","2026-08-14"
Optimum Solutions,"Senior Data Engineer","Data Engineer - Azure / Databricks",no,"Pune, Chennai","6-10 years (5+ preferred)","Azure Data Factory, Data Engineering, Azure Databricks, Delta Live Table, PySpark, Delta Lake, Azure Data Lake, ETL","","Azure Data Factory, Azure Databricks, Delta Lake, ADLS, Delta Live Tables","https://www.naukri.com/delta-lake-jobs","2026-08-14"
Xoriant,"Azure Data Engineer with Experience in Fabric data brick, Data factory","Azure Data Engineer / Fabric",yes,"Pune","9-16 years","Azure Data Factory, Azure Databricks, Microsoft Fabric","","Azure Data Factory, Azure Databricks, Microsoft Fabric","https://www.naukri.com/azure-data-factory-jobs","2026-08-14"
TCS,"Azure Data Factory Developer","Data Engineer - Azure",no,"Various","2026 (active)","Not specified","Azure Data Factory","","Azure Data Factory","https://www.naukri.com/azure-data-factory-jobs","2026-08-14"
Datavetaa (Training - indicates demand),"Azure Databricks Training Demand","Market Signal","N/A","Pune","2026","N/A","Azure Databricks, ADF, Delta Lake, PySpark, SQL, ETL","","Indicates employer demand for: Azure Databricks, ADF, Delta Lake, PySpark","https://www.datavetaa.com/Best-azure-databricks-training-in-pune","2026-08-14"
ShifttoTech (Market Analysis),"Azure Data Engineer in Hyderabad 2026: DP-203 Retired","Market Report",no,"Hyderabad","2026-06-06","N/A","DP-700 (Fabric), ADF, Databricks, Delta Lake, Synapse, ADLS Gen2, PySpark, SQL","","Market analysis of required skills","https://shifttotech.co.in/blog/azure-data-engineer-hyderabad","2026-08-14"
AIM Research,"Top Data Engineering Service Providers 2026 - PeMa Quadrant","Market Report",no,"India","2026-05","N/A","Enterprise data platforms, Azure, Databricks, Fabric, Data Engineering services","","Market report on Data Engineering service providers and capabilities","https://aimresearch.co/reports/top-data-engineering-service-providers-2026","2026-08-14"
Microsoft Fabric Community,"DP-700 Microsoft Fabric Data Engineer Certification","Market Signal",no,"Global/India","2026-01-25","N/A","DP-700, Microsoft Fabric, OneLake, Lakehouse, KQL, Data Engineering, Analytics Engineering","","Indicates DP-700/Fabric skills increasingly requested in JDs","https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/DP-700-Microsoft-Fabric-Data-Engineer-What-It-Is-amp-Why-It/ba-p/4909584","2026-08-14"
